name,description,article,stock,price,category,images
Папір A4 офісний,Білий папір для друку,PAP001,120,150,Папір,"PAP001_img1.jpg, PAP001_img2.jpg, PAP001_img3.jpg"
Папір кольоровий,Набір з 10 кольорів,PAP002,80,200,Папір,"PAP002_img1.jpg, PAP002_img2.jpg, PAP002_img3.jpg"
Картон білий,Щільний картон формату А4,PAP003,50,180,Папір,"PAP003_img1.jpg, PAP003_img2.jpg, PAP003_img3.jpg"
Папір з лінією,Зошитовий папір в клітинку,PAP004,100,50,Папір,"PAP004_img1.jpg, PAP004_img2.jpg, PAP004_img3.jpg"
Папір для акварелі,Щільний папір для малювання,PAP005,30,220,Папір,"PAP005_img1.jpg, PAP005_img2.jpg, PAP005_img3.jpg"
Папір для нотаток,Маленький формат для записів,PAP006,200,30,Папір,"PAP006_img1.jpg, PAP006_img2.jpg, PAP006_img3.jpg"
Папір А3,Формат для креслень,PAP007,40,300,Папір,"PAP007_img1.jpg, PAP007_img2.jpg, PAP007_img3.jpg"
Папір для скрапбукінгу,Кольоровий папір з візерунками,PAP008,20,250,Папір,"PAP008_img1.jpg, PAP008_img2.jpg, PAP008_img3.jpg"
Технічний папір,Сірий папір для креслень,PAP009,60,100,Папір,"PAP009_img1.jpg, PAP009_img2.jpg, PAP009_img3.jpg"
Папір з клейкою основою,Для записів на стікерах,PAP010,300,40,Папір,"PAP010_img1.jpg, PAP010_img2.jpg, PAP010_img3.jpg"
Ручка кулькова,"Синя паста, тонке письмо",CAN001,500,15,Канцелярія,"CAN001_img1.jpg, CAN001_img2.jpg, CAN001_img3.jpg"
Олівець графітний,М'який стрижень для креслення,CAN002,400,10,Канцелярія,"CAN002_img1.jpg, CAN002_img2.jpg, CAN002_img3.jpg"
Фломастери набір,12 кольорів у футлярі,CAN003,200,120,Канцелярія,"CAN003_img1.jpg, CAN003_img2.jpg, CAN003_img3.jpg"
Стікери для нотаток,Кольорові клейкі листочки,CAN004,300,50,Канцелярія,"CAN004_img1.jpg, CAN004_img2.jpg, CAN004_img3.jpg"
Ластик універсальний,Для олівця та ручки,CAN005,150,20,Канцелярія,"CAN005_img1.jpg, CAN005_img2.jpg, CAN005_img3.jpg"
Маркер текстовий,Жовтий маркер для виділення,CAN006,100,25,Канцелярія,"CAN006_img1.jpg, CAN006_img2.jpg, CAN006_img3.jpg"
Зошит у клітинку,96 аркушів для записів,CAN007,80,40,Канцелярія,"CAN007_img1.jpg, CAN007_img2.jpg, CAN007_img3.jpg"
Блокнот А5,Для повсякденних нотаток,CAN008,70,70,Канцелярія,"CAN008_img1.jpg, CAN008_img2.jpg, CAN008_img3.jpg"
Скоби для степлера,Набір 1000 шт.,CAN009,150,15,Канцелярія,"CAN009_img1.jpg, CAN009_img2.jpg, CAN009_img3.jpg"
Ніж канцелярський,Для розрізання паперу,CAN010,50,30,Канцелярія,"CAN010_img1.jpg, CAN010_img2.jpg, CAN010_img3.jpg"
Фарба акварель,Набір з 24 кольорів,PAI001,50,300,Фарба,"PAI001_img1.jpg, PAI001_img2.jpg, PAI001_img3.jpg"
Фарба гуаш,Для малювання в школі,PAI002,70,200,Фарба,"PAI002_img1.jpg, PAI002_img2.jpg, PAI002_img3.jpg"
Фарба акрилова,Набір для художників,PAI003,30,500,Фарба,"PAI003_img1.jpg, PAI003_img2.jpg, PAI003_img3.jpg"
Фарба масляна,12 кольорів у наборі,PAI004,20,800,Фарба,"PAI004_img1.jpg, PAI004_img2.jpg, PAI004_img3.jpg"
Фарба для текстилю,Підходить для тканин,PAI005,25,400,Фарба,"PAI005_img1.jpg, PAI005_img2.jpg, PAI005_img3.jpg"
Фарба аерозольна,Для розпису металу,PAI006,40,250,Фарба,"PAI006_img1.jpg, PAI006_img2.jpg, PAI006_img3.jpg"
Фарба для стін,"Інтер'єрна фарба, біла",PAI007,60,600,Фарба,"PAI007_img1.jpg, PAI007_img2.jpg, PAI007_img3.jpg"
Фарба гуаш металік,Перламутровий ефект,PAI008,15,350,Фарба,"PAI008_img1.jpg, PAI008_img2.jpg, PAI008_img3.jpg"
Фарба темперна,Для декоративного малювання,PAI009,35,300,Фарба,"PAI009_img1.jpg, PAI009_img2.jpg, PAI009_img3.jpg"
Фарба водоемульсійна,Для стін і стель,PAI010,40,450,Фарба,"PAI010_img1.jpg, PAI010_img2.jpg, PAI010_img3.jpg"
